UnitID,Institution Name,Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),
170532,Kalamazoo College,359,407,312,322,329,415,307,340,
155308,Kansas Christian College,6,14,2,1,1,0,,,
177746,Kansas City Art Institute,107,140,125,118,102,109,127,123,
179812,Kansas City University of Medicine and Biosciences,,,,,,,,,
490601,Kansas City University of Medicine and Biosciences-Joplin,,,,,,,,,
155414,Kansas Wesleyan University,100,106,88,93,89,95,86,79,
440031,Keck Graduate Institute,,,,,,,,,
192165,Kehilath Yakov Rabbinical Seminary,34,47,35,42,37,42,22,25,
135081,Keiser University-Ft Lauderdale,474,460,870,860,867,516,489,554,
177816,Kenrick Glennon Seminary,,7,5,9,6,7,8,6,
157100,Kentucky Christian University,77,115,83,55,89,67,106,106,
157030,Kentucky Mountain Bible College,7,8,8,14,11,11,8,7,
157076,Kentucky Wesleyan College,171,133,132,117,139,107,102,102,
203535,Kenyon College,479,411,455,450,413,452,427,441,
203544,Kettering College,32,24,33,34,31,31,37,27,
169983,Kettering University,328,339,338,413,337,344,342,302,
192192,Keuka College,261,256,247,222,165,164,166,199,
213303,Keystone College,175,180,180,142,150,141,183,155,
220516,King University,122,130,110,114,122,162,147,131,
213321,King's College,397,462,418,397,348,373,388,426,
146427,Knox College,280,290,303,335,300,336,332,303,
171881,Kuyper College,16,21,23,30,33,22,52,34,
213358,La Roche University,165,155,172,197,174,165,174,169,
213367,La Salle University,736,692,603,530,678,706,707,722,
117627,La Sierra University,224,282,244,325,263,256,380,334,
165264,Laboure College,0,0,0,0,0,0,0,0,
213376,Lackawanna College,6,1,0,190,198,181,174,205,
213385,Lafayette College,692,632,616,628,617,593,574,608,
140234,LaGrange College,147,163,153,173,156,164,121,136,
117168,Laguna College of Art and Design,92,72,71,68,56,51,64,45,
203580,Lake Erie College,116,147,134,149,127,139,192,135,
407629,Lake Erie College of Osteopathic Medicine,,,,,,,,,
146481,Lake Forest College,346,295,305,295,343,341,342,335,
146490,Lake Forest Graduate School of Management,,,,,,,,,
238980,Lakeland University,129,117,135,128,129,147,137,163,
146533,Lakeview College of Nursing,,,,,,,,,
213400,Lancaster Bible College,128,123,124,135,127,91,96,89,
213446,Lancaster Theological Seminary,,,,,,,,,
247649,Landmark College,8,8,9,4,0,87,83,69,
220598,Lane College,198,208,198,275,165,181,158,300,
166391,Lasell University,282,278,319,389,374,363,413,269,
170675,Lawrence Technological University,281,289,301,270,268,290,265,186,
239017,Lawrence University,346,300,329,358,338,353,356,292,
192323,Le Moyne College,569,453,526,541,593,535,455,535,
220604,Le Moyne-Owen College,85,103,100,92,63,86,80,89,
213507,Lebanon Valley College,350,379,343,371,350,350,334,401,
220613,Lee University,686,714,716,633,588,644,653,625,
198808,Lees-McRae College,133,139,120,115,135,149,109,114,
213543,Lehigh University,1192,1161,1200,1192,1231,1145,1143,1128,
198835,Lenoir-Rhyne University,358,263,335,320,220,236,205,248,
166452,Lesley University,303,304,268,296,238,241,263,277,
226231,LeTourneau University,234,226,212,213,223,247,244,218,
209056,Lewis & Clark College,483,428,418,553,468,399,476,537,
146612,Lewis University,537,494,516,553,623,573,550,601,
157207,Lexington Theological Seminary,,,,,,,,,
232557,Liberty University,2810,2628,2686,2809,2577,2183,2458,2434,
117520,Life Chiropractic College West,,,,,,,,,
117104,Life Pacific University,47,47,35,52,41,23,27,28,
140252,Life University,113,71,66,68,60,47,27,29,
218238,Limestone University,238,192,195,218,245,263,155,134,
146667,Lincoln Christian University,49,52,65,44,41,57,49,54,
146676,Lincoln College,86,74,75,14,11,15,17,16,
220631,Lincoln Memorial University,202,200,183,172,164,127,174,206,
117557,Lincoln University,4,3,3,3,3,3,11,4,
177968,Lindenwood University,670,652,726,855,772,919,946,727,
157216,Lindsey Wilson College,339,330,275,325,310,319,296,311,
209065,Linfield University-McMinnville Campus,272,314,320,388,397,393,355,402,
437325,Linfield University-Online and Continuing Education,,,,,,,,,
437316,Linfield University-School of Nursing,,,,,,,,,
219976,Lipscomb University,547,521,497,561,522,547,514,475,
198862,Livingstone College,212,181,158,210,259,218,188,163,
177986,Logan University,9,2,0,,,,,,
117636,Loma Linda University,,,,,,,,,
192448,Long Island University,707,1020,413,377,392,476,684,622,
166489,Longy School of Music of Bard College,8,10,9,2,9,9,8,9,
153825,Loras College,274,272,249,309,303,335,303,271,
159568,Louisiana College,168,182,136,105,136,144,155,204,
157298,Louisville Presbyterian Theological Seminary,,,,,,,,,
203757,Lourdes University,126,143,137,106,96,124,158,117,
117946,Loyola Marymount University,1345,1300,1210,1190,1225,1203,1165,1151,
146719,Loyola University Chicago,2367,2259,2180,1803,1970,2153,1709,1679,
163046,Loyola University Maryland,943,896,924,885,975,949,936,939,
159656,Loyola University New Orleans,601,679,488,521,469,493,697,629,
226383,Lubbock Christian University,208,214,220,180,193,183,219,210,
153834,Luther College,465,435,429,524,474,534,561,550,
135364,Luther Rice College & Seminary,0,0,0,2,3,3,2,6,
173896,Luther Seminary,,,,,,,,,
146728,Lutheran School of Theology at Chicago,,,,,,,,,
213668,Lycoming College,247,211,273,274,313,284,255,338,
132657,Lynn University,445,334,387,350,389,313,286,283,
106342,Lyon College,146,135,123,139,162,129,111,114,
173902,Macalester College,580,520,472,543,514,524,508,449,
192624,Machzikei Hadath Rabbinical College,23,39,27,28,33,27,23,28,
146825,MacMurray College,96,103,85,81,80,86,98,86,
170806,Madonna University,161,204,152,144,135,158,117,145,
182917,Magdalen College,23,11,19,24,15,14,,,
153861,Maharishi International University,10,9,15,14,19,13,27,17,
161509,Maine College of Art,62,85,86,67,78,77,52,76,
161022,Maine College of Health Professions,0,0,5,2,7,1,2,2,
203775,Malone University,187,243,215,189,219,221,251,227,
151777,Manchester University,274,239,249,233,303,254,256,255,
155496,Manhattan Christian College,43,42,15,19,42,43,54,54,
192703,Manhattan College,642,624,692,799,625,632,740,704,
192712,Manhattan School of Music,104,102,150,94,104,66,77,84,
192749,Manhattanville College,274,292,356,344,375,376,398,390,
213774,Manor College,15,100,61,92,87,96,119,121,
446394,Maple Springs Baptist Bible College and Seminary,,0,,0,0,1,1,0,
239071,Maranatha Baptist University,103,98,128,128,139,156,134,146,
192785,Maria College of Albany,6,6,4,8,7,0,3,7,
151786,Marian University,353,261,303,233,263,248,209,205,
239080,Marian University,211,230,184,197,165,182,193,226,
203845,Marietta College,275,198,165,179,259,283,281,271,
192819,Marist College,1149,1123,1088,1086,1025,1043,993,1049,
230940,Marlboro College,26,17,44,26,35,31,41,41,
440411,Marlboro College Graduate & Professional Studies,,,,,,,,,
239105,Marquette University,1946,1762,1787,1663,1790,1763,1748,1809,
198899,Mars Hill University,166,224,231,217,238,232,254,208,
123943,Marshall B Ketchum University,,,,,,,,,
173452,Martin Luther College,157,154,167,149,156,131,152,145,
220701,Martin Methodist College,169,125,125,133,216,150,150,95,
151810,Martin University,3,8,8,3,6,9,7,25,
232672,Mary Baldwin University,237,80,146,114,167,158,166,193,
163295,Maryland Institute College of Art,374,373,302,360,402,351,341,422,
164085,Maryland University of Integrative Health,,,,,,,,,
118541,Marymount California University,91,124,138,159,182,197,222,250,
192864,Marymount Manhattan College,327,353,407,377,364,295,304,287,
232706,Marymount University,297,290,344,308,255,320,269,302,
220710,Maryville College,218,206,232,257,235,249,226,210,
178059,Maryville University of Saint Louis,553,517,461,329,361,339,302,289,
213826,Marywood University,334,383,279,308,305,323,369,384,
166683,Massachusetts Institute of Technology,1107,1083,1092,1086,1020,1097,1108,1093,
369002,Massachusetts School of Law,,,,,,,,,
173957,Mayo Clinic College of Medicine and Science,0,,,,,,,,
146977,McCormick Theological Seminary,,,,,,,,,
164270,McDaniel College,321,361,316,330,305,377,368,348,
147013,McKendree University,244,277,332,264,286,295,215,199,
226587,McMurry University,153,152,177,156,130,130,179,199,
155511,McPherson College,100,140,124,136,85,97,100,75,
166656,MCPHS University,551,616,656,666,737,765,809,378,
147031,Meadville Lombard Theological School,,,,,,,,,
490328,Mechon L'hoyroa,,0,26,,,,,,
192925,Medaille College,145,153,131,206,190,197,172,247,
239169,Medical College of Wisconsin,,,,,,,,,
220792,Meharry Medical College,,,,,,,,,
220808,Memphis College of Art,,,47,62,69,75,47,67,
220871,Memphis Theological Seminary,,,,,,,,,
118693,Menlo College,112,100,114,116,135,107,137,105,
140447,Mercer University,837,789,712,725,702,581,529,464,
193016,Mercy College,674,638,654,652,550,537,551,770,
153977,Mercy College of Health Sciences,8,14,6,14,8,0,1,2,
203960,Mercy College of Ohio,23,22,16,19,8,8,19,15,
213987,Mercyhurst University,508,457,580,460,506,476,533,544,
198950,Meredith College,326,315,338,341,372,329,295,284,
166850,Merrimack College,932,727,808,677,711,661,567,487,
193061,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,5,3,6,4,1,4,6,9,
193052,Mesivta Torah Vodaath Rabbinical Seminary,3,2,9,4,6,15,13,15,
193070,Mesivtha Tifereth Jerusalem of America,14,9,16,14,18,12,15,15,
417752,Messenger College,5,8,2,8,8,7,4,3,
213996,Messiah University,575,577,603,590,613,567,613,600,
147129,Methodist College,3,0,16,9,4,11,19,6,
203997,Methodist Theological School in Ohio,,,,,,,,,
198969,Methodist University,215,210,272,274,312,346,237,261,
190114,Metropolitan College of New York,15,20,18,16,31,26,35,24,
166869,MGH Institute of Health Professions,,,,,,,,,
169220,Michigan School of Psychology,,,,,,,,,
169628,Michigan State University-College of Law,,,,,,,,,
245953,Mid-America Christian University,57,47,71,70,48,109,52,40,
151962,Mid-America College of Funeral Service,19,19,14,0,0,0,0,0,
199458,Mid-Atlantic Christian University,19,31,26,30,31,19,19,10,
481225,Mid-South Christian College,3,6,0,1,2,2,4,,
155520,MidAmerica Nazarene University,118,148,111,126,136,133,124,121,
220996,Middle Tennessee School of Anesthesia Inc,,,,,,,,,
230959,Middlebury College,593,612,581,552,561,598,569,585,
119058,Middlebury Institute of International Studies at Monterey,,,,,,,,,
181330,Midland University,202,196,212,198,193,215,224,168,
157377,Midway University,140,91,110,53,58,63,82,58,
178208,Midwestern Baptist Theological Seminary,16,12,6,21,21,13,16,24,
143853,Midwestern University-Downers Grove,,,,,,,,,
423643,Midwestern University-Glendale,,,,,,,,,
101675,Miles College,223,167,214,235,255,211,236,198,
486901,Milligan University,130,145,146,147,141,,,,
147244,Millikin University,350,370,339,302,349,371,404,337,
118888,Mills College,109,122,128,109,140,138,151,114,
175980,Millsaps College,183,180,197,181,185,137,158,173,
239309,Milwaukee Institute of Art & Design,190,157,131,123,106,119,122,128,
239318,Milwaukee School of Engineering,507,449,466,411,484,443,401,354,
174127,Minneapolis College of Art and Design,126,115,130,121,98,96,82,68,
193247,Mirrer Yeshiva Cent Institute,26,35,24,37,23,22,32,27,
214069,Misericordia University,336,342,361,357,371,344,414,318,
211130,Missio Theological Seminary,,,,,,,,,
176053,Mississippi College,393,450,440,472,454,421,318,364,
178244,Missouri Baptist University,175,183,164,155,128,167,143,141,
178369,Missouri Valley College,213,172,201,187,170,186,160,184,
129774,Mitchell College,93,87,77,73,117,104,94,107,
175281,Mitchell Hamline School of Law,,,,,,,,,
193292,Molloy College,495,448,487,455,426,441,400,349,
