,UnitID,Institution Name
875,167093,New England College of Optometry
877,167215,New England Law-Boston
879,159948,New Orleans Baptist Theological Seminary
880,440396,New Saint Andrews College
881,366368,New York Academy of Art
882,193751,New York Chiropractic College
884,194073,New York College of Podiatric Medicine
885,439783,New York College of Traditional Chinese Medicine
887,193821,New York Law School
888,193830,New York Medical College
890,193894,New York Theological Seminary
902,439817,Northeastern Seminary
904,482705,Northeastern University Lifelong Learning Network
905,147697,Northern Baptist Theological Seminary
908,443030,NorthShore University HealthSystem School of Nurse Anesthesia
911,487603,Northwest University-College of Adult and Professional Studies
926,227289,Oblate School of Theology
934,194189,Ohr Hameir Theological Seminary
941,461120,Omega Graduate School
943,369659,Oregon College of Oriental Medicine
945,155636,Ottawa University-Kansas City
946,428259,Ottawa University-Milwaukee
948,105367,Ottawa University-Phoenix
949,464226,Ottawa University-Surprise
957,455406,Pacific Northwest University of Health Sciences
958,120768,Pacific Oaks College
959,120795,Pacific School of Religion
960,120838,Pacific States University
965,154174,Palmer College of Chiropractic
966,120698,Palo Alto University
967,121628,Pardee RAND Graduate School
972,204990,Payne Theological Seminary
977,219842,Pentecostal Theological Seminary
980,215123,Philadelphia College of Osteopathic Medicine
982,189282,Phillips School of Nursing at Mount Sinai Beth Israel
983,414966,Phillips Theological Seminary
984,381459,Phoenix Seminary
989,215424,Pittsburgh Theological Seminary
998,131405,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies
999,455813,Pontifical John Paul II Institute for Studies on Marriage and Family
1000,167464,Pope St John XXIII National Seminary
1003,490045,Presbyterian Theological Seminary in America
1006,486433,Presidio Graduate School
1007,186122,Princeton Theological Seminary
1020,194736,Rabbinical College of Long Island
1022,484871,Rabbinical College Ohr Yisroel
1025,231837,Radford University-Carilion
1030,215619,Reconstructionist Rabbinical College
1032,215628,Reformed Presbyterian Theological Seminary
1033,490230,Reformed University
1038,492209,Reiss-Davis Graduate School
1039,475033,Relay Graduate School of Education
1046,129428,Rensselaer at Hartford
1048,149763,Resurrection University
1052,441104,Richmont Graduate University
1063,195049,Rockefeller University
1068,409616,Roger Williams University School of Law
1071,145558,Rosalind Franklin University of Medicine and Science
1073,445735,Roseman University of Health Sciences
1075,148511,Rush University
1079,239637,Sacred Heart Seminary and School of Theology
1083,149028,Saint Anthony College of Nursing
1089,148575,Saint Francis Medical Center College of Nursing
1092,167677,Saint John's Seminary
1100,179450,Saint Luke's College of Health Sciences
1106,152451,Saint Meinrad School of Theology
1109,179317,Saint Paul School of Theology
1112,136701,Saint Vincent de Paul Regional Seminary
1113,215813,Saint Vincent Seminary
1114,195580,Saint Vladimirs Orthodox Theological Seminary
1118,214564,Salus University
1121,122296,Samuel Merritt University
1125,122649,San Joaquin College of Law
1126,481535,Sanford Burnham Prebys Medical Discovery Institute
1130,123095,Saybrook University
1137,232885,Sentara College of Health Sciences
1144,461485,Shepherds Theological Seminary
1145,218751,Sherman College of Chiropractic
1155,219240,Sioux Falls Seminary
1156,231068,SIT Graduate Institute
1160,123633,South Baylo University
1162,228194,South Texas College of Law Houston
1165,199759,Southeastern Baptist Theological Seminary
1169,117575,Southern California Seminary
1170,117672,Southern California University of Health Sciences
1171,221670,Southern College of Optometry
1178,420246,Southwest College of Naturopathic Medicine & Health Sciences
1184,188207,Southwestern College
1185,123970,Southwestern Law School
1189,148982,Spertus College
1193,475273,Springfield College-Regional  Online  and Continuing Education
1194,195155,St Bernard's School of Theology and Ministry
1198,123855,St John's Seminary
1206,148593,St. John's College-Department of Nursing
1208,195562,St. Joseph's College-Long Island
1214,123916,Starr King School for the Ministry
1241,196440,Talmudical Institute of Upstate New York
1246,196468,Teachers College at Columbia University
1249,228866,Texas Chiropractic College Foundation Inc
