UnitID,Institution Name,Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),
198066,Brevard College,30250,28640,28640,27790,26980,26170,25200,23900,
139205,Brewton-Parker College,18500,18240,17740,16960,16180,14200,13560,12670,
152992,Briar Cliff University,32202,30970,29786,28788,28090,27202,26650,25642,
231581,Bridgewater College,36600,35160,33820,32590,31480,30380,29090,28000,
230047,Brigham Young University-Hawaii,5720,5560,5400,5240,5100,4940,4770,4630,
142522,Brigham Young University-Idaho,4208,4118,4018,3920,3830,3950,3850,3770,
230038,Brigham Young University-Provo,5790,5620,5460,5300,5150,5000,4850,4710,
450304,Brite Divinity School,,,,,,,,,
189501,Brooklyn Law School,,,,,,,,,
217156,Brown University,58404,55466,53419,51366,49346,47434,45612,43758,
180878,Bryan College of Health Sciences,17534,17282,15190,14636,14169,13592,12711,12246,
219790,Bryan College-Dayton,27900,26800,25600,24450,23300,22200,21150,20150,
217165,Bryant University,45395,43973,42109,40962,39808,38574,37234,35991,
210492,Bryn Athyn College of the New Church,24471,22860,21126,19932,19353,18609,17724,16878,
211273,Bryn Mawr College,54440,52360,50500,48790,47140,45540,43900,42246,
211291,Bucknell University,58196,56092,53986,51960,50152,48498,46902,45378,
153001,Buena Vista University,35194,34004,32854,32210,31318,30406,29448,28314,
230825,Burlington College,,,,,24246,23581,22885,22545,
209409,Bushnell University,31410,30050,28680,27930,27270,26180,24930,24780,
150163,Butler University,42360,41120,39860,38360,37010,35652,34368,33138,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
198109,Cabarrus College of Health Sciences,13574,13194,12626,12268,11976,11636,11330,11010,
211352,Cabrini University,32845,31920,31350,30588,29842,29842,29000,29000,
215114,Cairn University-Langhorne,28918,27279,26493,25246,23920,23245,22455,21705,
183910,Caldwell University,35740,34715,33950,32650,31200,30050,29000,27890,
