UnitID,Institution Name,Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),
198066,Brevard College,29185259,26877430,25336006,22532687,24230180,23518890,21683970,,
139205,Brewton-Parker College,7884156,7732353,7675732,7570223,7674723,13913077,14335613,14043831,
152992,Briar Cliff University,16276558,14199125,13015759,12066605,12568754,10949734,10351696,8902569,
231581,Bridgewater College,95560797,93113220,89237902,79252839,82716905,83051300,70577494,62670740,
230047,Brigham Young University-Hawaii,117859065,122042710,97998486,129600366,128522023,119641542,92978156,88087105,
142522,Brigham Young University-Idaho,108304000,117712000,103023000,97261000,,92425000,78741000,72824000,
230038,Brigham Young University-Provo,1878296000,1974414000,1720824000,1571803000,1581452000,1470770000,1053241027,957009708,
450304,Brite Divinity School,83303334,84861470,81800996,78106730,82075528,79232546,75018923,64940799,
189501,Brooklyn Law School,226569503,237372819,233423409,151264671,129836298,133265987,117055082,105828691,
217156,Brown University,3976694000,3603848000,3245531000,2963366000,3073349000,2999749000,2669948000,2525091000,
180878,Bryan College of Health Sciences,7285835,7595756,,,,,,,
219790,Bryan College-Dayton,6980955,6055056,5977351,5932411,5901131,5848081,5789771,5763345,
217165,Bryant University,184036000,183756000,174207000,158599000,170101000,172809342,153536376,141803000,
210492,Bryn Athyn College of the New Church,58273937,58772124,58756970,55896179,60025025,60448065,54504462,59337046,
211273,Bryn Mawr College,888153000,897236000,852743000,803898000,867728000,839226000,710168000,641173000,
211291,Bucknell University,866835000,851309000,800765000,722425000,,750913000,666563000,599216000,
153001,Buena Vista University,136567559,138108162,135029495,127326442,133347544,135570211,122300637,114246498,
230825,Burlington College,,,,,,164414,33880,1880,
209409,Bushnell University,14987272,14317854,13500732,12112272,12417394,12613333,11224754,11303271,
150163,Butler University,220516000,235941000,220426000,193805000,193960000,188874000,171576000,148077000,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
198109,Cabarrus College of Health Sciences,2973992,2444713,2060260,2060259,1943814,1958804,1649031,1416481,
211352,Cabrini University,42166174,45558371,46450642,43895124,43708900,44141538,38860713,12730912,
215114,Cairn University-Langhorne,11207000,11407792,10950234,10143093,11196341,11303788,10083307,9629702,
183910,Caldwell University,4735000,4264000,3403000,8128784,8319896,7948562,6295772,5836346,
110361,California Baptist University,65618267,53909340,47703685,41825411,16087620,15774938,14019392,12230337,
110918,California Christian College,108103,105061,103993,102152,102995,103645,99305,96671,
110370,California College of the Arts,36150000,34883000,33048000,30759000,33020000,32096000,30334000,28621000,
110316,California Institute of Integral Studies,2229376,1941255,1937824,1672513,1387573,1386723,1382723,1290780,
110404,California Institute of Technology,2987001000,2907002000,2641050000,2217372000,2078954000,2118100000,1960435000,1811497000,
111081,California Institute of the Arts,178839344,173336202,158496963,134148344,139561180,137535200,115310499,113190033,
110413,California Lutheran University,107158450,108839898,98470376,92559894,92938118,86235853,61760588,55648989,
460075,California University of Management and Sciences,,,,,,,,,
111391,California Western School of Law,23591611,24432810,24161170,22516456,23819248,24308916,21853178,19625160,
150172,Calumet College of Saint Joseph,4411153,4279589,4132707,3900173,4336364,4448692,3887051,3563763,
211370,Calvary Baptist Theological Seminary,,,,,,,1526567,1539345,
176789,Calvary University,522371,1054399,1205900,723014,727074,1219519,209134,199679,
169099,Calvin Theological Seminary,45399923,46933904,45838370,41351372,41829488,42903378,37136811,32317503,
169080,Calvin University,176538000,160768715,145671768,129091034,128435593,123665678,114190839,108490611,
165167,Cambridge College,63858020,69647702,76366154,14926752,14451700,15199840,12981498,12203627,
198136,Campbell University,152497434,149440784,143109273,135803435,133564944,124569754,132217136,110524019,
156365,Campbellsville University,29384985,20968711,13976207,12988408,13336302,13826432,12063889,10206647,
189705,Canisius College,129200979,133912454,123754244,104297917,110740199,104580533,94474839,96031298,
201548,Capital University,106298280,107345637,78044540,71502534,73514052,74332891,65904126,60643137,
162061,Capitol Technology University,4832021,4620314,4398910,4024954,4248089,,3578798,3133357,
238430,Cardinal Stritch University,12481793,12087176,11109690,10450224,10229682,9747225,8978545,13939436,
173258,Carleton College,892352800,878493998,828168145,738135608,783456362,792737205,700540278,645654187,
211431,Carlow University,32440448,31308302,28450645,25749299,23463263,21167822,18289683,16623477,
211440,Carnegie Mellon University,1983601568,1872190873,1718582585,1288196389,1318050068,1235967714,1066149108,979229547,
199971,Carolina Christian College,226237,204491,211098,225730,223612,,,,
461032,Carolina College of Biblical Studies,473928,480027,467240,443982,456291,462541,405616,364317,
180106,Carroll College,56909845,56227500,53525693,48391702,52045530,51030695,37932404,33766927,
238458,Carroll University,71164498,62142912,57549409,51973370,52607425,52173386,46263856,41570137,
219806,Carson-Newman University,59515420,58527749,57477709,54612105,53592352,51811396,50396319,48936983,
238476,Carthage College,111495804,108980136,106774647,85439746,84390973,80813222,64440221,54832380,
139287,Carver Bible College,,,,,,,,,
201645,Case Western Reserve University,1866500000,1886761000,1798790000,1662739000,1775999000,1758570000,1678563000,1600013000,
